year,usd_to_inr,gbp_to_inr
1994,31.37,47.62
1995,32.42,50.01
1996,35.52,50.24
1997,36.31,58.4
1998,41.26,67.04
1999,43.06,69.23
2000,44.94,68.15
2001,47.19,69.88
2002,48.61,72.01
2003,46.58,67.68
2004,45.32,83.82
2005,44.11,77.44
2006,45.31,85.95
2007,41.2,81.32
2008,43.41,79.87
2009,48.32,76.35
2010,45.72,70.5
2011,46.85,73.1
2012,53.44,82.02
2013,58.44,92.73
2014,61.03,98.55
2015,64.15,97.54
2016,67.21,91.22
2017,70.09,87.36
2018,68.46,90.5
2019,70.39,89.82
2020,76.38,94.32
2021,74.57,100.52
2022,81.35,104.28
2023,82.02,105.76
2024,84.55,107.2
